loan_amnt,term_months,interest_rate,annual_inc,dti,open_acc,pub_rec,revol_util,inq_last_6m,delinq_2yrs,emp_length_years,home_ownership,default
17486.0,60,10.9,67975.0,35.48,8,0,55.0,2,0,2,MORTGAGE,0
15712.0,60,14.61,121988.0,11.05,5,0,70.84,1,0,21,MORTGAGE,0
18452.0,36,16.3,44413.0,9.06,6,0,23.78,1,0,29,MORTGAGE,0
12864.0,36,11.65,66176.0,20.93,3,0,46.26,0,0,23,OTHER,1
15793.0,36,11.04,30633.0,20.9,7,2,71.01,0,0,15,RENT,0
18128.0,36,14.09,26223.0,20.71,3,0,49.13,1,0,19,RENT,1
13453.0,36,10.97,46382.0,19.49,2,0,58.85,1,0,29,RENT,1
17284.0,36,10.64,56501.0,12.98,7,0,38.4,2,0,16,RENT,1
11690.0,36,16.15,57833.0,6.12,4,0,5.68,1,0,4,RENT,1
13185.0,36,17.04,63219.0,20.27,4,0,38.71,0,0,5,RENT,0
13091.0,36,16.34,20550.0,7.74,7,1,30.98,0,0,10,RENT,0
9021.0,36,11.33,51222.0,6.98,4,0,42.27,1,0,26,MORTGAGE,1
17435.0,36,5.0,85053.0,14.95,7,1,31.26,0,0,14,OWN,1
12653.0,60,11.41,29253.0,21.45,3,1,49.26,0,0,21,MORTGAGE,1
15062.0,36,8.97,59346.0,33.9,12,0,36.33,0,0,29,MORTGAGE,1
17404.0,36,11.48,78785.0,25.83,6,1,65.22,2,0,20,RENT,0
17233.0,36,9.32,46532.0,29.47,3,0,60.39,0,0,3,RENT,1
18327.0,36,11.92,80246.0,23.23,5,0,21.89,0,0,29,RENT,1
14508.0,60,7.84,24366.0,20.93,9,1,76.41,0,0,16,RENT,1
12884.0,60,6.88,96653.0,38.05,5,0,26.92,1,1,13,MORTGAGE,0
14601.0,36,16.89,80974.0,7.42,0,0,16.89,1,0,4,MORTGAGE,1
6563.0,36,8.12,71670.0,14.69,4,0,71.38,0,0,14,RENT,1
7764.0,36,12.0,103745.0,15.32,1,0,30.19,5,0,6,MORTGAGE,0
8387.0,36,15.82,60120.0,25.15,5,0,47.45,2,0,12,RENT,0
10014.0,36,15.66,51464.0,10.17,4,0,12.8,0,0,18,RENT,1
16999.0,36,15.18,111176.0,24.11,5,0,35.85,1,0,4,RENT,0
10473.0,36,13.21,125223.0,22.64,6,0,42.12,1,0,8,MORTGAGE,0
13109.0,36,14.9,49197.0,24.51,3,0,35.19,0,0,16,RENT,0
21496.0,36,17.49,66588.0,24.36,6,0,32.15,1,1,8,OWN,0
13219.0,36,13.7,101351.0,30.31,6,1,46.02,4,0,15,RENT,0
18688.0,36,5.0,67656.0,17.61,3,0,69.75,1,0,20,OWN,0
10332.0,36,9.89,87838.0,22.24,3,0,21.46,0,1,8,RENT,0
13973.0,36,14.79,93412.0,12.11,5,1,0.0,1,0,25,OWN,0
10250.0,36,9.49,53131.0,10.28,3,0,75.99,2,0,8,RENT,1
13305.0,36,18.48,82578.0,32.12,6,0,28.54,0,0,1,RENT,0
19202.0,36,11.75,69814.0,11.5,3,0,30.67,3,0,26,RENT,1
6363.0,60,12.34,33494.0,23.13,6,1,31.37,2,0,6,RENT,1
17172.0,60,16.5,40310.0,22.25,6,0,11.79,2,1,12,MORTGAGE,1
16189.0,36,11.27,50427.0,27.4,8,0,35.13,0,1,16,OWN,1
12029.0,36,12.71,97856.0,4.73,4,0,38.0,1,0,23,RENT,0
7770.0,36,15.6,98841.0,25.13,6,0,55.88,1,0,28,RENT,0
15361.0,36,6.11,92497.0,17.54,4,0,31.31,1,0,12,RENT,0
12353.0,36,10.86,83203.0,13.2,0,0,0.0,0,0,11,OWN,0
16163.0,36,15.32,82385.0,15.99,2,0,11.57,0,0,6,RENT,0
15109.0,36,12.26,78327.0,26.29,2,0,72.89,0,0,8,RENT,1
23009.0,36,17.87,82228.0,23.85,6,0,24.0,0,0,17,RENT,0
13803.0,36,5.7,84261.0,16.98,4,0,58.65,0,0,2,RENT,0
9883.0,36,5.24,27867.0,8.89,7,1,27.16,1,0,26,RENT,1
15896.0,36,15.08,46293.0,9.45,9,0,65.32,1,0,6,MORTGAGE,1
16100.0,36,15.46,39132.0,24.02,5,0,47.48,1,0,18,RENT,1
21796.0,36,11.23,103214.0,7.78,3,0,8.72,4,0,15,OWN,0
19176.0,36,13.6,119623.0,17.05,7,1,15.73,0,0,5,MORTGAGE,1
16784.0,36,14.98,5000.0,39.45,7,0,7.76,0,0,9,RENT,1
22317.0,36,8.74,116944.0,21.68,7,0,67.81,1,0,16,RENT,0
9056.0,36,9.17,72602.0,23.94,9,0,13.53,1,0,18,RENT,1
11801.0,60,12.76,100382.0,9.51,5,0,35.77,1,0,5,MORTGAGE,0
10367.0,36,15.62,85194.0,8.18,3,0,42.99,2,0,9,OWN,0
13051.0,36,7.34,113212.0,24.37,6,0,50.55,2,0,14,RENT,1
8117.0,36,11.21,76292.0,15.74,7,0,33.47,2,0,7,RENT,0
18176.0,60,11.02,29096.0,27.39,3,0,5.61,1,0,4,OWN,0
13889.0,36,13.67,66830.0,19.15,4,0,14.83,2,0,19,RENT,0
7646.0,60,11.97,85470.0,46.45,3,0,18.7,2,0,5,RENT,0
9922.0,36,9.82,63521.0,14.22,9,0,0.0,2,0,22,RENT,0
16568.0,36,16.99,89732.0,21.11,9,1,55.79,1,0,4,OWN,1
19191.0,36,9.84,68029.0,11.65,4,0,57.64,0,0,28,MORTGAGE,0
24984.0,36,10.83,52135.0,27.06,4,2,18.2,0,0,16,MORTGAGE,1
29569.0,36,5.63,37421.0,22.32,3,1,77.61,2,0,17,MORTGAGE,1
17072.0,36,9.15,58246.0,11.11,5,0,42.34,0,0,12,RENT,0
10052.0,36,14.06,76137.0,16.26,2,0,66.19,0,0,29,RENT,1
4340.0,60,13.28,11218.0,29.77,6,1,64.4,0,1,2,RENT,1
16339.0,36,14.4,46598.0,28.81,3,0,41.65,0,1,6,RENT,1
10935.0,36,14.2,10099.0,7.48,4,0,0.0,3,0,22,MORTGAGE,1
12923.0,36,20.35,51488.0,15.07,4,0,49.98,0,0,16,MORTGAGE,1
11940.0,60,9.01,105919.0,33.37,5,0,58.16,2,0,16,MORTGAGE,0
14296.0,60,5.52,34417.0,17.46,12,0,28.69,2,0,14,OWN,0
20330.0,36,7.8,91095.0,20.27,5,0,49.02,1,0,15,OWN,0
15785.0,60,9.19,155465.0,27.02,1,0,44.28,3,0,21,OWN,0
14207.0,60,8.1,113606.0,8.14,4,0,21.17,0,1,15,MORTGAGE,0
9822.0,60,12.37,74005.0,11.28,7,0,42.5,1,0,7,MORTGAGE,0
6627.0,60,17.01,95753.0,16.21,4,0,32.27,2,0,25,RENT,1
12568.0,36,18.16,28910.0,28.44,2,0,54.38,0,0,4,RENT,1
14731.0,36,14.02,22798.0,26.96,9,0,30.25,2,0,28,OWN,1
23840.0,36,20.57,70861.0,24.56,15,0,27.21,2,0,13,RENT,1
15651.0,36,10.57,81958.0,17.69,11,0,4.06,0,0,14,RENT,1
19914.0,36,5.47,102832.0,27.84,7,0,100.16,1,0,21,RENT,0
12504.0,36,16.21,52937.0,17.58,2,0,33.69,0,0,25,RENT,1
9075.0,60,5.0,75802.0,23.42,7,0,16.74,0,0,22,OWN,1
10174.0,36,8.98,74773.0,26.1,7,2,60.09,3,0,4,OWN,1
11374.0,60,14.08,66058.0,32.37,3,0,49.67,0,0,20,RENT,1
25642.0,36,11.59,67826.0,18.35,4,0,58.7,1,0,23,OWN,1
10893.0,36,11.24,44359.0,15.9,7,0,61.35,1,0,20,MORTGAGE,1
19192.0,36,7.28,78391.0,29.16,6,1,72.43,0,0,12,RENT,0
10485.0,36,11.96,75851.0,29.77,7,0,18.38,0,0,4,RENT,1
19658.0,36,16.01,56800.0,14.45,4,1,48.66,1,1,2,RENT,1
16925.0,36,12.08,89973.0,9.96,9,0,5.52,2,0,24,RENT,0
14217.0,36,8.68,100835.0,28.55,1,1,37.33,0,0,26,MORTGAGE,0
14796.0,36,7.01,90321.0,5.67,4,1,61.77,2,0,17,RENT,0
11726.0,36,8.76,38727.0,5.26,11,0,22.62,1,0,27,OWN,1
17230.0,60,13.57,72989.0,16.65,4,0,100.77,1,0,2,MORTGAGE,0
12725.0,36,13.37,42657.0,18.82,7,0,45.45,0,0,28,RENT,1
8872.0,36,8.8,72897.0,9.52,8,0,0.0,1,0,7,MORTGAGE,0
8610.0,36,5.0,42774.0,19.77,6,0,62.63,3,1,11,RENT,0
15863.0,60,13.68,108315.0,20.13,3,0,100.5,1,0,8,OTHER,0
22895.0,36,8.41,93500.0,14.16,8,0,0.0,0,0,11,MORTGAGE,0
15800.0,36,14.76,104590.0,34.27,8,2,62.86,2,0,4,OWN,0
14407.0,36,8.98,101552.0,21.44,7,0,20.27,0,0,15,MORTGAGE,0
16429.0,36,8.05,61882.0,27.03,4,0,43.65,1,0,4,MORTGAGE,1
21530.0,36,12.61,57232.0,6.35,4,0,12.27,0,0,5,MORTGAGE,0
16097.0,36,21.43,122252.0,6.28,2,0,66.34,0,1,27,MORTGAGE,0
12945.0,36,15.0,65046.0,21.68,8,0,37.04,1,0,3,RENT,0
20531.0,36,12.54,29363.0,32.84,4,0,74.01,0,0,13,RENT,1
17144.0,36,13.44,100224.0,9.92,8,0,19.26,0,0,15,MORTGAGE,0
22679.0,60,5.0,74313.0,19.15,5,0,39.84,1,0,12,MORTGAGE,1
15916.0,36,7.51,115178.0,8.12,2,0,0.0,0,0,15,RENT,0
8878.0,36,5.0,77289.0,12.25,5,0,109.94,1,1,25,MORTGAGE,1
8159.0,36,18.92,69400.0,19.54,3,0,92.99,0,0,10,RENT,1
23255.0,36,18.11,115784.0,14.06,8,0,99.48,1,0,11,MORTGAGE,1
23618.0,36,13.57,23846.0,7.56,2,0,83.33,1,0,6,RENT,1
14102.0,36,12.54,52439.0,7.38,6,1,30.23,0,0,9,MORTGAGE,1
13084.0,36,5.79,43379.0,2.91,7,0,43.9,1,0,26,MORTGAGE,0
22307.0,36,11.12,5000.0,21.81,6,0,52.29,1,0,6,RENT,1
9465.0,36,19.17,96195.0,22.78,10,0,54.36,1,0,5,RENT,1
10526.0,36,12.53,53277.0,22.74,4,0,17.61,1,0,2,RENT,1
18217.0,60,9.74,97161.0,10.73,6,0,16.35,1,0,30,RENT,0
13027.0,36,5.0,81673.0,26.05,4,0,11.57,0,0,6,OTHER,1
14974.0,36,17.52,88214.0,23.65,7,0,34.34,0,0,6,RENT,0
14183.0,36,11.72,56338.0,18.06,7,0,37.0,2,0,25,RENT,0
16688.0,36,5.0,47073.0,16.75,5,0,33.68,0,0,27,MORTGAGE,0
22037.0,60,8.3,72693.0,12.81,8,0,51.28,1,1,17,MORTGAGE,1
15453.0,36,6.89,97575.0,19.54,7,0,10.43,0,1,9,MORTGAGE,1
18220.0,36,11.47,68489.0,30.94,5,1,23.64,0,0,18,RENT,0
4749.0,36,12.83,48942.0,27.1,6,0,25.99,0,1,25,MORTGAGE,0
14756.0,36,9.99,34029.0,15.95,8,0,65.47,2,0,11,OWN,1
10784.0,60,15.11,76125.0,22.31,2,1,49.94,2,0,24,RENT,1
8906.0,36,12.32,53378.0,9.19,5,0,53.45,0,0,15,RENT,0
10609.0,36,16.25,67848.0,23.84,5,0,21.65,0,0,21,RENT,1
13329.0,36,10.57,62837.0,11.35,6,1,46.01,0,0,20,RENT,0
19580.0,36,24.18,56667.0,23.52,6,0,25.64,0,0,13,RENT,1
8368.0,36,9.74,78814.0,41.75,5,0,26.5,0,1,12,RENT,0
15153.0,36,8.39,86635.0,13.44,3,0,54.24,0,0,25,MORTGAGE,1
12579.0,36,7.89,128958.0,41.38,4,1,28.83,1,0,10,MORTGAGE,0
13362.0,36,11.16,92739.0,21.93,3,0,42.36,1,0,20,OWN,0
20014.0,36,5.12,117810.0,12.0,5,0,38.25,1,0,7,OTHER,0
17691.0,36,13.18,45442.0,11.64,3,0,15.64,0,0,20,OWN,1
21687.0,60,5.0,21972.0,36.92,4,0,30.56,0,0,6,MORTGAGE,1
14227.0,36,12.65,69567.0,21.94,2,0,30.96,0,1,15,RENT,0
11520.0,36,6.59,95741.0,13.47,6,0,35.46,0,0,17,MORTGAGE,0
13881.0,36,10.47,91035.0,16.37,2,0,0.0,0,0,4,OTHER,0
16212.0,60,14.42,106341.0,21.45,3,0,26.77,2,0,2,MORTGAGE,0
15883.0,36,21.22,5000.0,17.93,6,0,67.8,1,0,7,MORTGAGE,1
9578.0,36,7.69,107589.0,20.77,5,0,55.93,1,0,4,RENT,1
15452.0,36,11.4,80064.0,32.19,2,1,35.01,0,0,9,OTHER,1
16141.0,36,9.1,23680.0,8.98,5,0,15.51,1,0,18,MORTGAGE,1
27587.0,36,8.52,91706.0,23.16,6,0,47.51,0,0,10,MORTGAGE,0
24384.0,36,9.14,75084.0,17.42,3,1,69.19,0,0,25,OWN,1
10734.0,36,15.3,81437.0,14.01,3,0,82.93,0,0,14,RENT,0
13563.0,60,10.05,99973.0,26.58,10,0,31.9,1,0,8,RENT,1
7683.0,36,21.0,82908.0,6.31,6,0,18.5,1,0,0,OTHER,1
12046.0,36,13.66,25815.0,0.0,4,0,57.04,0,1,0,RENT,1
16578.0,36,7.96,65709.0,19.8,4,0,53.98,0,0,28,RENT,1
21029.0,60,10.53,21471.0,16.89,6,0,45.26,0,0,20,OWN,1
11355.0,60,8.79,89472.0,7.18,5,1,29.12,1,0,26,RENT,0
11729.0,36,15.2,111939.0,4.32,5,0,12.28,1,0,1,OWN,0
4264.0,36,5.44,32756.0,33.45,3,0,61.86,0,0,6,OWN,0
14187.0,36,6.64,49856.0,21.7,8,0,67.41,0,0,10,RENT,1
9688.0,60,9.63,43529.0,18.16,7,1,36.0,1,0,3,RENT,0
12353.0,36,14.73,56383.0,35.56,2,0,87.76,0,0,13,RENT,1
10616.0,36,16.93,82373.0,26.18,6,0,50.91,1,0,28,RENT,0
14529.0,36,17.52,56708.0,32.15,6,0,40.63,1,0,23,RENT,1
6211.0,60,14.12,89576.0,8.56,6,0,15.43,0,0,8,OWN,0
7665.0,60,11.67,101961.0,8.26,4,0,2.49,1,1,23,OWN,1
25646.0,60,15.18,103053.0,22.94,8,0,32.2,0,0,6,RENT,0
8563.0,36,7.42,36455.0,21.32,5,1,54.22,2,0,12,RENT,1
9516.0,36,5.0,111578.0,28.0,10,0,103.34,1,0,23,RENT,0
24185.0,60,13.75,113982.0,4.95,2,1,46.69,0,0,27,OWN,0
29525.0,36,7.98,116580.0,23.63,3,0,59.81,0,0,22,RENT,0
9142.0,36,11.74,65266.0,25.91,7,0,24.32,1,0,11,RENT,0
13159.0,60,12.48,47445.0,25.49,6,0,50.22,1,0,8,RENT,0
16708.0,36,12.99,40473.0,14.75,3,2,46.95,1,0,14,MORTGAGE,1
23643.0,36,15.75,36947.0,22.15,5,1,21.36,0,0,25,MORTGAGE,1
10066.0,36,15.33,70351.0,11.79,14,0,78.45,0,0,12,OTHER,1
13774.0,36,12.78,95436.0,15.66,7,1,41.65,0,0,14,RENT,1
18887.0,36,10.23,109197.0,9.66,4,0,72.63,1,0,19,RENT,0
17174.0,36,12.43,55433.0,11.93,6,0,45.24,0,0,18,RENT,1
13119.0,36,9.62,68839.0,16.07,7,1,36.72,0,0,12,RENT,0
14331.0,60,11.21,66874.0,14.07,1,0,25.47,1,0,7,MORTGAGE,0
8126.0,36,22.47,50942.0,11.93,5,0,36.24,1,0,28,RENT,1
13809.0,36,12.73,92072.0,7.6,7,0,81.62,0,0,30,MORTGAGE,1
13668.0,36,13.8,80885.0,33.69,9,0,22.53,0,0,26,MORTGAGE,1
16161.0,36,9.18,74255.0,14.0,3,0,61.66,0,0,5,RENT,1
12223.0,36,16.08,80749.0,20.64,3,0,37.22,0,0,12,RENT,1
17358.0,36,15.04,88464.0,3.93,10,0,59.74,0,0,12,OWN,0
20064.0,36,15.07,88163.0,28.86,4,1,50.17,1,0,0,RENT,0
15777.0,36,12.86,44845.0,19.34,7,0,11.67,2,0,15,MORTGAGE,1
16759.0,36,16.14,96890.0,14.45,7,0,49.14,0,0,16,OTHER,0
15266.0,60,17.09,77661.0,14.52,6,1,99.14,1,0,22,RENT,1
15000.0,36,13.13,56962.0,24.96,8,0,52.69,1,0,7,MORTGAGE,0
11392.0,36,11.54,77027.0,0.0,2,0,68.18,1,0,14,MORTGAGE,0
16582.0,60,15.58,80334.0,11.41,5,0,52.43,1,0,9,RENT,1
14514.0,36,8.38,102454.0,17.05,9,0,64.71,1,0,4,RENT,0
25466.0,36,9.13,38615.0,16.96,4,0,27.05,2,0,14,RENT,0
22867.0,36,11.79,109750.0,38.04,2,0,41.96,0,0,6,RENT,1
16929.0,36,5.03,70695.0,15.3,4,0,67.0,2,0,24,RENT,0
11185.0,36,15.31,54815.0,25.92,4,1,36.25,0,0,14,MORTGAGE,1
9438.0,36,8.15,53897.0,32.49,2,0,71.8,0,0,23,RENT,1
20956.0,36,10.11,39959.0,23.36,3,0,19.91,2,0,6,MORTGAGE,1
16314.0,36,11.15,17773.0,12.61,7,1,46.47,1,0,17,RENT,1
17401.0,36,12.16,90322.0,7.72,5,0,38.53,0,0,9,MORTGAGE,0
6277.0,36,10.63,129427.0,23.96,8,0,110.96,0,0,22,RENT,0
19637.0,36,11.73,21472.0,31.16,3,0,35.26,1,1,27,MORTGAGE,0
17272.0,36,11.76,41487.0,22.37,7,0,55.51,3,0,9,MORTGAGE,1
9448.0,36,10.21,92547.0,27.87,4,1,0.0,1,0,14,RENT,0
12642.0,36,8.91,68631.0,38.74,5,0,15.8,0,0,15,OWN,0
16319.0,36,16.33,95033.0,24.7,3,0,52.64,1,0,6,MORTGAGE,1
15262.0,36,5.0,66948.0,9.19,6,0,38.4,1,0,2,MORTGAGE,1
13539.0,60,11.18,52581.0,18.41,5,0,38.88,1,0,23,MORTGAGE,1
14483.0,36,10.12,63225.0,28.96,4,0,36.88,0,0,1,RENT,0
13740.0,36,13.68,5000.0,16.01,8,0,40.37,0,0,0,RENT,1
15763.0,36,6.18,35695.0,30.05,7,0,2.21,0,1,4,RENT,0
22357.0,36,10.0,98448.0,17.46,1,0,42.83,1,0,14,MORTGAGE,1
2167.0,36,11.59,105757.0,20.67,3,0,39.52,2,0,23,OWN,0
13816.0,36,16.28,112185.0,15.19,4,0,71.66,1,0,28,MORTGAGE,1
15883.0,36,13.33,83226.0,19.28,4,0,65.88,0,0,28,RENT,0
16480.0,60,7.27,5000.0,19.7,4,1,0.0,1,0,28,MORTGAGE,1
13140.0,36,10.05,50950.0,5.13,4,0,26.63,2,0,19,RENT,1
6216.0,36,15.54,109740.0,14.47,5,1,90.05,1,0,15,OWN,0
16640.0,36,7.2,118692.0,8.13,6,2,67.65,0,0,1,RENT,1
23637.0,36,11.69,110879.0,14.74,2,0,57.27,1,0,14,MORTGAGE,1
7331.0,36,11.96,62912.0,11.64,3,1,32.43,2,0,19,MORTGAGE,1
19319.0,36,10.46,30803.0,26.09,10,0,63.5,3,0,21,RENT,1
13357.0,60,22.78,68781.0,26.19,8,0,7.12,1,0,8,MORTGAGE,1
14693.0,36,10.35,70444.0,22.48,7,0,30.85,0,0,9,RENT,1
9736.0,60,13.8,116967.0,7.86,11,0,53.62,0,0,27,OWN,0
13328.0,60,8.93,76834.0,17.21,6,1,60.19,0,0,26,OWN,1
21500.0,60,14.11,70500.0,7.22,6,0,50.41,1,0,22,MORTGAGE,1
17913.0,36,15.48,72205.0,16.82,6,0,54.84,0,1,11,RENT,0
23662.0,36,9.65,81996.0,23.18,7,0,49.1,1,0,11,RENT,0
20887.0,36,11.78,88793.0,25.94,8,1,37.12,1,0,16,MORTGAGE,1
17195.0,36,8.42,48264.0,21.78,4,0,78.52,3,1,13,RENT,1
23720.0,36,7.42,38271.0,28.07,6,0,91.28,1,0,24,MORTGAGE,1
17195.0,36,16.15,111117.0,20.08,5,0,43.73,2,0,22,OWN,0
19140.0,36,9.78,20769.0,16.13,6,0,15.62,2,0,5,MORTGAGE,1
13517.0,60,5.0,119132.0,24.99,4,1,39.13,2,0,28,RENT,0
15333.0,36,19.06,12680.0,25.25,5,1,47.17,0,0,14,MORTGAGE,1
11513.0,60,8.79,52464.0,13.81,5,1,0.0,0,2,9,RENT,1
19948.0,36,11.01,99156.0,21.03,6,0,78.46,0,0,13,RENT,0
9108.0,36,18.56,70010.0,15.65,3,0,29.04,0,0,23,RENT,0
18912.0,60,11.43,30506.0,1.93,5,1,24.33,0,1,11,MORTGAGE,0
14047.0,60,11.35,82793.0,21.52,8,0,36.51,0,0,21,MORTGAGE,1
20856.0,36,7.09,72010.0,7.64,4,0,33.18,0,0,18,OTHER,0
18754.0,60,5.46,63519.0,20.63,4,0,46.42,0,0,7,RENT,1
24103.0,36,11.33,51282.0,5.72,3,0,64.74,3,0,17,MORTGAGE,1
18654.0,60,13.45,68962.0,12.24,4,0,76.89,0,0,7,RENT,1
7140.0,36,13.22,52542.0,14.53,5,0,64.76,2,0,24,RENT,1
14665.0,36,10.07,143036.0,27.61,5,0,21.43,0,0,6,OWN,0
9140.0,36,12.08,62799.0,13.73,7,0,42.27,0,0,10,RENT,0
12409.0,36,5.0,58787.0,9.4,4,0,47.62,0,1,5,RENT,0
22556.0,36,13.84,53751.0,20.91,9,0,52.68,0,0,9,RENT,1
18188.0,36,12.65,123309.0,16.26,7,0,57.23,2,0,9,RENT,0
11505.0,36,19.89,20828.0,24.32,3,0,46.94,0,0,11,RENT,1
9931.0,60,12.03,80783.0,9.9,6,0,42.84,1,0,4,MORTGAGE,1
15164.0,36,8.23,62821.0,19.69,2,0,67.77,1,0,21,MORTGAGE,0
